ID,NAME,PHONE,STREET,CITY,STATE,ZIP,FACILITY,result_num,status,formatted_,place_id,location_t,Latitude,Longitude
56,Northeast Iowa Mental Health Center,(563) 382-3649,911 Carter Street NW,Elkader,Iowa,52043,MH SUMH OP CMHC BMT CBT CFT DBT GT IDD IPT TT PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS SS COOT STU SMON ADLT CHLD SNR YAD AH,0,OK,"911 Carter St NW, Elkader, IA 52043, USA",ChIJn56XANpp-4cRN-mRa8Cs520,ROOFTOP,42.860173,-91.414524
57,Seasons Center for Behavioral Health Palo Alto County Office,(800) 242-5101,3201 1st Street,Emmetsburg,Iowa,50536,MH OP CMHC CBT CFT DBT IPT TT PVTN CLF CMHG MC MD MI OSF PI SF SI SMHA VAF SS COOT SPS SMON ADLT CHLD SNR YAD,0,OK,"3201 1st St, Emmetsburg, IA 50536, USA",ChIJHxnp1AYf84cRyO4MRsSeX40,GEOMETRIC_CENTER,43.1202069,-94.69187149999999
58,Seasons Center for Behavioral Health Emmet County Office,(800) 242-5101,826 North 8th Street,Estherville,Iowa,51334,MH OP CMHC CBT CFT DBT IPT TT PVTN CLF CMHG MC MD MI OSF PI SF SI SMHA VAF SS COOT SPS SMON ADLT CHLD SNR YAD,0,OK,"826 N 8th St, Estherville, IA 51334, USA",ChIJJ2o8nhdH84cR95Lb9n3WtoM,ROOFTOP,43.4095751,-94.8337105
59,Prairie View Management Inc,(563) 422-5606,18569 Lane Road,Fayette,Iowa,52142,MH SUMH RES RTCA AT BMT CBT GT PTM CIT PVTN CLF SF PA CJ CO SMI PRS SMPD ADLT SNR YAD,0,OK,"18569 Lane Rd, Fayette, IA 52142, USA",ChIJPXvAASge-4cRNp6ZEh4Rd5Y,ROOFTOP,42.8976714,-91.8317593
60,Catholic Charities Diocese of Sioux City,(515) 576-4156,3 North 17th Street Suite 1,Fort Dodge,Iowa,50501,MH OP OMH BMT CBT CFT DBT IPT TT CIT PVTN CLF MC MD PI SCJJ SF SI SWFS PA SS TRMA PTSD COOT ES FPSY SMON ADLT CHLD SNR YAD,0,OK,"3 N 17th St #1, Fort Dodge, IA 50501, USA",EikzIE4gMTd0aCBTdCAjMSwgRm9ydCBEb2RnZSwgSUEgNTA1MDEsIFVTQSIdGhsKFgoUChIJE8ir_Fx28ocR12Vzba3L-2QSATE,ROOFTOP,42.5064117,-94.1746945
61,Children and Families of Iowa,(515) 573-2193,111 Avenue O West,Fort Dodge,Iowa,50501,MH SUMH OP TELE OMH AT BMT CBT CFT DBT GT IDD IPT PTM TT PVTN CLF MD MI OSF PI SF SI SMHA SWFS SS CO PTSD SED CM COOT FPSY PRS SPS VRS TCC SMPD ADLT CHLD SNR YAD SP,0,OK,"111 Ave O W, Fort Dodge, IA 50501, USA",EiYxMTEgQXZlIE8gVywgRm9ydCBEb2RnZSwgSUEgNTA1MDEsIFVTQSIaEhgKFAoSCdP3eIjDd_KHEWW0dGpf6m6cEG8,RANGE_INTERPOLATED,42.4866643,-94.2078252
62,Community and Family Resources,(515) 576-7261,211 Avenue M West,Fort Dodge,Iowa,50501,MH SUMH OP TELE OMH AT CBT CFT GT IDD IPT PTM TT PVTN MC MD MI PI SCJJ SF SI SMHA SWFS VAF CO COOT ES FPSY NRT STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"211 Ave M W, Fort Dodge, IA 50501, USA",ChIJJ-MgJMJ38ocRKaP4PnfFzWU,ROOFTOP,42.4881919,-94.2111396
63,Richmond Center,(515) 232-5811,211 Avenue M West,Fort Dodge,Iowa,50501,MH SUMH OP TELE OMH AT BMT CBT CFT DBT GT IDD IPT PTM TT PVTN CLF MC MD MI PI SCJJ SF SI SWFS VAF CO COOT ES FPSY SPS NRT NSC STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"211 Ave M W, Fort Dodge, IA 50501, USA",ChIJJ-MgJMJ38ocRKaP4PnfFzWU,ROOFTOP,42.4881919,-94.2111396
64,UnityPoint Health Berryhill Center,(800) 482-8305,720 Kenyon Road,Fort Dodge,Iowa,50501,MH SUMH OP TELE CMHC AT BMT CBT CFT DBT GT IDD IPT PTM TT CIT WI PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF SS CO PTSD SED SMI ACT CDM CM COOT DEC ES FPSY ICM IMR IPC PRS SPS PEER STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"720 Kenyon Rd, Fort Dodge, IA 50501, USA",ChIJq6qaYMt38ocR7q2yjUk5T1U,ROOFTOP,42.4893382,-94.1936606
65,Counseling Associates,(319) 372-3141,1014 Avenue H Suite 1,Fort Madison,Iowa,52627,MH SUMH OP OMH CBT CFT GT IDD IPT TT CIT PVTP CLF MC MD MI PI SCJJ SF SI CM SPS SMPD ADLT CHLD SNR YAD,0,OK,"1014 Ave H #1, Fort Madison, IA 52627, USA",EioxMDE0IEF2ZSBIICMxLCBGb3J0IE1hZGlzb24sIElBIDUyNjI3LCBVU0EiHRobChYKFAoSCR0l2FIm1uaHEfjC9U9-ZF1aEgEx,ROOFTOP,40.6297901,-91.31608519999999
66,Myrtue Medical Center Behavioral Health,(712) 755-5056,1303 Garfield Avenue,Harlan,Iowa,51537,MH SUMH OP TELE OMH AT CBT CFT DBT GT IPT TT CIT WI PVTP CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF CO COOT FPSY PRS SPS PEER NRT STU TCC SMON ADLT CHLD SNR YAD SP,0,OK,"1303 Garfield Ave, Harlan, IA 51537, USA",ChIJaYL0IEYjk4cRakGHMe1WZUA,ROOFTOP,41.6474852,-95.3274267
67,Plains Area Mental Health Center,(712) 364-3500,700 East 2nd Street Suite 2,Ida Grove,Iowa,51445,MH SUMH OP TELE CMHC AT BMT CBT CFT DBT GT IDD IPT PTM TT CIT WI PVTN CLF CMHG CSBG MC MD MI OSF PI SF SI CM COOT ES FPSY IPC PEER STU SMON ADLT CHLD SNR YAD AH,0,OK,"700 E 2nd St #2, Ida Grove, IA 51445, USA",Eik3MDAgRSAybmQgU3QgIzIsIElkYSBHcm92ZSwgSUEgNTE0NDUsIFVTQSIdGhsKFgoUChIJn4JAIkqZkocRFYXq65s2DD0SATI,ROOFTOP,42.33833569999999,-95.45797460000001
68,Abbe Ctr for Comm Mental Health,(319) 334-4010,2349 Jamestown Avenue Suite 5,Independence,Iowa,50644,MH SUMH OP CMHC CBT CFT IPT PTM TT PVTN CLF CSBG MC MD MI PI SCJJ SF SI SMHA SWFS VAF STU SMPD ADLT CHLD SNR YAD,0,OK,"2349 Jamestown Ave #5, Independence, IA 50644, USA",EjIyMzQ5IEphbWVzdG93biBBdmUgIzUsIEluZGVwZW5kZW5jZSwgSUEgNTA2NDQsIFVTQSIdGhsKFgoUChIJwwKPol0p5YcRxkec0x7FZvESATU,ROOFTOP,42.4500361,-91.8916471
69,Mental Health Institute,(319) 334-2583,2277 Iowa Avenue,Independence,Iowa,50644,MH HI PSY AT CBT CFT GT IPT PTM TT CIT SMA CLF MC MD MI OSF PI SEF SF SI SMHA SED SMI CDM DEC ES FPSY NRT NSC STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"2277 Iowa Ave, Independence, IA 50644, USA",EioyMjc3IElvd2EgQXZlLCBJbmRlcGVuZGVuY2UsIElBIDUwNjQ0LCBVU0EiGxIZChQKEgk1Ln9UGyzlhxGcDoXqqXKrcxDlEQ,RANGE_INTERPOLATED,42.4614243,-91.91966479999999
70,Abbe Ctr for Comm Mental Health,(319) 338-7884,1039 Arthur Street,Iowa City,Iowa,52240,MH SUMH OP CMHC CBT CFT IPT PTM PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SF STU SMPD ADLT CHLD SNR YAD,0,OK,"1039 Arthur St, Iowa City, IA 52240, USA",ChIJu5H0I0Fq5IcRtyGuPZ-oMNk,ROOFTOP,41.64844,-91.497585
71,Chatham Oaks,(319) 887-2701,4515 Melrose Avenue,Iowa City,Iowa,52246,MH SUMH RES RTCA AT BMT GT IPT PTM PVTN CLF SF SMHA VAF CDM CM COOT IMR LAD PRS SPS NRT NSC TCC SMPD ADLT SNR YAD,0,OK,"4515 Melrose Ave, Iowa City, IA 52246, USA",ChIJk0fmwLNG5IcRBqVkKG3ZdLs,ROOFTOP,41.6564904,-91.6022232
72,Iowa City VA Healthcare System Mental Health Service Line,(319) 338-0581,601 Highway 6 West,Iowa City,Iowa,52246,MH SUMH HI OP TELE AT BMT CBT CFT DBT ECT GT IDD IPT PTM TT WI VAMC MI PI VAF VET ACT CDM CM COOT DEC FPSY HS ICM IMR IPC PRS SEMP SH SPS VRS PEER NRT NSC STU TCC SMON ADLT SNR YAD VO AH,0,OK,"601 US-6, Iowa City, IA 52246, USA",ChIJ6e83A49B5IcRbtaS9nUBscU,ROOFTOP,41.6636987,-91.547688
73,Mercy Hospital,(319) 339-0300,500 East Market Street,Iowa City,Iowa,52245,MH SUMH HI PSY AT BMT CBT DBT GT IPT PTM PVTN MC MD MI PI SF VAF TAY SE GL VET ADM MF CO TRMA PED PTSD SMI NRT NSC STU TCC SMON ADLT SNR YAD AH,0,OK,"500 E Market St, Iowa City, IA 52245, USA",ChIJ0Up5TvpB5IcRL_kz9z6rJCM,ROOFTOP,41.6641482,-91.5285792
74,University of Iowa Hospitals/Clinics UI Behavioral Health,(319) 356-1616,200 Hawkins Drive,Iowa City,Iowa,52242,MH SUMH HI OP PHDT TELE PSY AT BMT CBT CFT DBT ECT GT IDD IPT PTM TT CIT WI OSG CLF MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF TAY SE GL VET MF CO ALZ PED PTSD SMI ACT CM COOT ES FPSY IPC NRT STU TCC SMON ADLT CHLD SNR YAD AH SP,0,OK,"200 Hawkins Dr, Iowa City, IA 52242, USA",ChIJRVEbnZBB5IcR_eIYOBQvOmU,ROOFTOP,41.6573931,-91.5487715
75,Youth Homes of Mid America,(515) 276-3473,7225 NW 58th Street,Johnston,Iowa,50131,MH SUMH OP TELE MSNH AT BMT CBT CFT DBT GT IDD IPT TT PVTN MD MI PI SCJJ SF SI SMHA SWFS PA SS TAY GL CO TRMA SED COOT ES FPSY PRS SPS TPC PEER SMPD ADLT CHLD SNR YAD,0,OK,"7225 NW 58th St, Johnston, IA 50131, USA",ChIJsbVjZ9Cc7ocRwKKPpNzAKzk,ROOFTOP,41.6921953,-93.6964022
76,Counseling Associates,(319) 524-0510,1522 Morgan Street,Keokuk,Iowa,52632,MH SUMH OP OMH CBT CFT GT IDD IPT TT CIT PVTP CLF MC MD MI PI SCJJ SF SI CM SPS SMPD ADLT CHLD SNR YAD,0,OK,"1522 Morgan St, Keokuk, IA 52632, USA",ChIJgwOOdEE654cRJSSVWdjIVi0,ROOFTOP,40.4066033,-91.3881236
77,Plains Area Mental Health Center,(712) 546-4624,180 10th Street SE Suite 201,Le Mars,Iowa,51031,MH SUMH OP TELE CMHC AT BMT CBT CFT DBT GT IDD IPT PTM TT CIT WI PVTN CLF CMHG CSBG MC MD MI OSF PI SF SI CM COOT ES FPSY IPC PEER STU SMPD ADLT CHLD SNR YAD AH SP,0,OK,"180 10th St SE #201, Le Mars, IA 51031, USA",EisxODAgMTB0aCBTdCBTRSAjMjAxLCBMZSBNYXJzLCBJQSA1MTAzMSwgVVNBIh8aHQoWChQKEgkN4NyzCMSNhxE7zpJsuTwtVhIDMjAx,ROOFTOP,42.7806809,-96.1642157
78,Heartland Family Service Logan Office,(712) 644-2946,107 North 4th Avenue Suite A,Logan,Iowa,51546,MH SUMH OP OMH BMT CBT CFT DBT GT IDD IPT TT CIT PVTN CLF CMHG CSBG MC MD MI OSF PI SF SWFS SS TAY SE GL VET CJ CO TRMA PTSD SED SMI CM COOT ES FPSY HS SEMP SPS STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"107 N 4th Ave Suite A, Logan, IA 51546, USA",EisxMDcgTiA0dGggQXZlIFN1aXRlIEEsIExvZ2FuLCBJQSA1MTU0NiwgVVNBIiMaIQoWChQKEgnlnFYY76iThxEkbj78xVtxDhIHU3VpdGUgQQ,ROOFTOP,41.6431009,-95.786469
79,Abbe Ctr for Comm Mental Health,(563) 927-6700,721 South 5th Street,Manchester,Iowa,52057,MH SUMH OP CMHC BMT CBT CFT IPT PTM TT WI PVTN CLF CMHG CSBG MC MD MI PI SCJJ SF SI CDM COOT IMR STU SMPD ADLT CHLD SNR YAD,0,OK,"721 S 5th St, Manchester, IA 52057, USA",ChIJSy-WzT205IcR3Ee6vnvRil4,ROOFTOP,42.4771672,-91.46502129999999
80,Hillcrest Family Services Jackson County Mental Health Center,(563) 652-4958,117 South Olive Street,Maquoketa,Iowa,52060,MH SUMH OP CMHC CBT CFT DBT IPT PTM TT CIT PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS COOT SPS STU SMON ADLT CHLD SNR YAD,0,OK,"117 S Olive St, Maquoketa, IA 52060, USA",ChIJ7QN6I08D44cRWSAQYJPV4BI,ROOFTOP,42.06836089999999,-90.66399990000001
81,Center Associates,(641) 752-1585,9 North 4th Avenue,Marshalltown,Iowa,50158,MH OP TELE CMHC BMT CBT CFT GT IPT PTM TT PVTN CLF CMHG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF SMPD ADLT CHLD SNR YAD SP,0,OK,"9 N 4th Ave, Marshalltown, IA 50158, USA",ChIJV7dHQtC674cRRwD1lEDY064,ROOFTOP,42.0500888,-92.90597129999999
82,MercyOne Medical Center North Iowa Behavioral Health Inpatient Department,(641) 428-7000,1000 4th Street SW,Mason City,Iowa,50401,MH SUMH HI OP PHDT PSY AT CBT CFT DBT GT IPT PTM TT PVTN CLF MC MD MI PI SCJJ SEF SF SI SMHA SWFS VAF SED CM COOT ES FPSY ICM IPC SMON ADLT CHLD SNR YAD AH,0,OK,"1000 4th St SW, Mason City, IA 50401, USA",ChIJ3focxAoH8YcRK_53FwYsuI0,ROOFTOP,43.1500243,-93.21654819999999
83,North Iowa Transition Center,(641) 424-8708,408 1st Street NW,Mason City,Iowa,50401,MH SUMH OP RES RTCA AT BMT CBT GT PTM PVTN CLF MD SF SMI IMR PRS SH NRT TCC SMPD ADLT SNR YAD,0,OK,"408 1st St NW, Mason City, IA 50401, USA",ChIJVftTcxIH8YcRUu8dR1yP8aw,ROOFTOP,43.1528695,-93.207763
84,Mediapolis Care Facility,(319) 394-3432,142 North Orchard Street P.O. Box 129,Mediapolis,Iowa,52637,MH SUMH RES RTCA AT BMT CBT DBT PTM PVTP CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF SMI DEC HS SH SMPD ADLT SNR YAD,0,OK,"142 N Orchard St, Mediapolis, IA 52637, USA",ChIJC3hkqbxL4YcRpm8mDZOHpj0,ROOFTOP,41.0085354,-91.1638342
85,Behavioral Services,(712) 642-2045,704 North 8th Street,Missouri Valley,Iowa,51555,MH OP TELE OMH CBT CFT DBT GT IPT PTM TT PVTN MC MD MI PI SF SI CDM COOT ES FPSY IMR SMON ADLT CHLD SNR YAD,0,OK,"704 N 8th St, Missouri Valley, IA 51555, USA",ChIJNX26B9ukk4cRtFZjIXkoEw0,ROOFTOP,41.5629006,-95.8849678
86,Hillcrest Family Services  Henry County Mental Health Center,(319) 385-7177,106 North Jackson Street,Mount Pleasant,Iowa,52641,MH SUMH OP TELE CMHC CBT CFT DBT IPT PTM TT CIT PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS COOT SPS STU SMON ADLT CHLD SNR YAD SP,0,OK,"106 N Jackson St, Mt Pleasant, IA 52641, USA",ChIJqUC1R4-V5ocR0Xtp818Gp1o,ROOFTOP,40.9676251,-91.55532559999999
87,Heritage Residence,(641) 394-2391,2275 South Linn Avenue P.O. Box 110,New Hampton,Iowa,50659,MH SUMH RES RTCA AT BMT CBT PTM PVTN CLF MD SF SE GL VET ADM MF CJ CO HV TRMA TBI PED PTSD SMI IPC PRS SMPD ADLT SNR YAD,0,OK,"2275 S Linn Ave, New Hampton, IA 50659, USA",ChIJ5-CYKJeF-ocRwfxExY4WD8w,ROOFTOP,43.0258906,-92.318598
88,Capstone Behavioral Healthcare Inc,(641) 792-4012,1123 1st Avenue East Suite 200,Newton,Iowa,50208,MH SUMH OP CMHC AT BMT CBT CFT DBT GT IPT PTM TT WI PVTN CLF CSBG MC MD MI PI SF SI SMHA SWFS VAF SMI CM COOT ICM SPS PEER STU TCC SMPD ADLT CHLD SNR YAD,0,OK,"1123 1st Ave E #200, Newton, IA 50208, USA",EioxMTIzIDFzdCBBdmUgRSAjMjAwLCBOZXd0b24sIElBIDUwMjA4LCBVU0EiHxodChYKFAoSCd9WnO_qHO-HEUtvYGGF7UvwEgMyMDA,ROOFTOP,41.6988919,-93.03923400000001
89,Northeast Iowa Mental Health Center,(319) 283-5774,36 South Frederick Avenue,Oelwein,Iowa,50662,MH SUMH OP TELE CMHC CBT CFT DBT GT IDD IPT PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS SS CM COOT ICM STU SMON ADLT CHLD SNR YAD AH,0,OK,"36 S Frederick Ave, Oelwein, IA 50662, USA",ChIJO5bq9LPQ-ocRCSTNg47OHMA,ROOFTOP,42.6772247,-91.9136832
90,Burgess Health Center Burgess Mental Health,(712) 423-9160,1600 Diamond Street,Onawa,Iowa,51040,MH OP TELE OMH AT BMT CBT CFT DBT GT IPT PTM TT WI PVTN CLF CMHG CSBG MC MD MI OSF PI SF SI VAF SED SMI ACT COOT FPSY ICM PRS SPS SMON ADLT CHLD SNR YAD,0,OK,"1600 Diamond St, Onawa, IA 51040, USA",ChIJu7elOAM_kocRV73NtHE7LPo,ROOFTOP,42.0253229,-96.10573130000002
91,Plains Area Mental Health Center,(712) 546-4624,400 Cent Avenue NW,Orange City,Iowa,51041,MH SUMH OP TELE CMHC BMT CBT CFT DBT GT IDD IPT PTM TT CIT PVTN CLF CMHG CSBG MC MD MI OSF PI SF SI CM ES IPC STU SMON ADLT CHLD SNR YAD AH,0,OK,"400 Central Ave NW, Orange City, IA 51041, USA",ChIJkZ3S9lG1jYcRFuwlJm4eWAk,ROOFTOP,43.0095816,-96.05881529999999
92,Children and Families of Iowa,(641) 342-3444,105 East McLane Street Suite 400,Osceola,Iowa,50213,MH SUMH OP OMH BMT CBT CFT DBT IPT TT PVTN MD MI PI SF SI SS COOT FPSY SMON ADLT CHLD SNR YAD,0,OK,"105 E McLane St #400, Osceola, IA 50213, USA",EiwxMDUgRSBNY0xhbmUgU3QgIzQwMCwgT3NjZW9sYSwgSUEgNTAyMTMsIFVTQSIfGh0KFgoUChIJM9hxH-3i64cRi0WysvibnIMSAzQwMA,ROOFTOP,41.0307994,-93.765056
93,Crossroads Behavioral Health Services,(641) 342-4888,405 East McLane Street,Osceola,Iowa,50213,MH SUMH OP TELE CMHC AT BMT CBT CFT DBT GT IDD IPT PTM TT CIT WI PVTN FQHC CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF PA SS TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SED SMI CM COOT ES FPSY SPS PEER STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"405 E McLane St, Osceola, IA 50213, USA",ChIJL5AeLpLi64cR3E_LmMqkVOk,ROOFTOP,41.0308255,-93.7594203
94,First Resources Corporation Mental Health Therapy,(641) 673-1421,117 1st Avenue West,Oskaloosa,Iowa,52577,MH OP OMH BMT CBT CFT DBT GT IDD IPT TT PVTN CLF MD PI SCJJ SEF SF SI SMHA SWFS SS TRMA PTSD FPSY SMPD ADLT CHLD SNR YAD AH,0,OK,"117 1st Ave W, Oskaloosa, IA 52577, USA",ChIJLw4NE6ZN74cRYL5V_GwJXrI,ROOFTOP,41.2948173,-92.6475904
95,Southern Iowa Mental Health Center,(641) 672-3159,1229 C Avenue East Suite 400,Oskaloosa,Iowa,52577,MH SUMH OP TELE CMHC BMT CBT CFT DBT GT IDD IPT PTM TT CIT PVTN CLF CSBG MC MD MI PI SF SI SMHA SWFS VAF PA SS TAY SE GL CO TRMA PTSD SED SMI COOT ES FPSY SPS STU SMON ADLT CHLD SNR YAD AH,0,OK,"1229 C Ave E #400, Oskaloosa, IA 52577, USA",EisxMjI5IEMgQXZlIEUgIzQwMCwgT3NrYWxvb3NhLCBJQSA1MjU3NywgVVNBIh8aHQoWChQKEgndwAq4mk3vhxFcGc15pgB0NRIDNDAw,ROOFTOP,41.2995262,-92.6297829
96,First Resources Corporation Mental Health Services,(641) 682-2800,102 North Hancock Street,Ottumwa,Iowa,52501,MH SUMH OP OMH CBT CFT DBT GT IDD IPT TT PVTN CLF MD PI SCJJ SF SWFS SS COOT SMPD ADLT CHLD SNR YAD AH,0,OK,"102 N Hancock St, Ottumwa, IA 52501, USA",ChIJLeHy0oge5ocRSvvMKH08lwI,ROOFTOP,41.002113,-92.416055
97,Southern Iowa Mental Health Center,(641) 682-8772,1527 Albia Road,Ottumwa,Iowa,52501,MH SUMH OP TELE CMHC BMT CBT CFT DBT GT IDD IPT PTM TT CIT WI PVTN CLF CMHG CSBG MC MD MI PI SF SI SMHA SWFS VAF PA SS TAY SE GL CO TRMA PTSD SED SMI ACT CM COOT ES FPSY ICM SPS PEER STU SMPD ADLT CHLD SNR YAD AH SP,0,OK,"1527 Albia Rd, Ottumwa, IA 52501, USA",ChIJca8X5JQf5ocREf3ZQcfTGVg,ROOFTOP,41.0104666,-92.44516139999999
98,Pine Rest Christian Mental Health,(641) 628-9599,2611 Washington Street,Pella,Iowa,50219,MH SUMH OP TELE OMH AT BMT CBT CFT DBT GT IPT PTM TT PVTN FQHC CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF SE VET TRMA PED COOT FPSY SPS SMON ADLT CHLD SNR YAD AH,0,OK,"2611 Washington St, Pella, IA 50219, USA",ChIJG3P7F1wl74cRczcr0_2ojZA,ROOFTOP,41.4091032,-92.953874
99,Genesis Development Mental Health Program,(515) 465-7541,610 10th Street,Perry,Iowa,50220,MH OP OMH BMT CBT CFT DBT GT IDD IPT PTM TT WI PVTN CLF MC MD MI PI SF SI SWFS VAF PA GL VET ADM MF CJ CO TRMA PTSD COOT SPS NRT NSC STU TCC SMON ADLT CHLD SNR YAD AH SP,0,OK,"610 10th St, Perry, IA 50220, USA",ChIJY33p5sZK7IcR5GYPpbH9fQo,ROOFTOP,41.833395,-94.09298679999999
100,Creative Living Center PC,(712) 476-5245,1905 10th Street,Rock Valley,Iowa,51247,MH OP CMHC AT CBT CFT DBT GT IPT PTM TT CIT PVTP CLF CMHG MC MD MI PI SCJJ SEF SF SI SMHA SWFS SS TAY SE TRMA PTSD SED SMI COOT ES SMPD ADLT CHLD SNR YAD SP,0,OK,"1905 10th St, Rock Valley, IA 51247, USA",ChIJ1Ut8J1IkjIcRk_SgyKj4u6I,ROOFTOP,43.2003032,-96.2894269
101,Counseling Services LLC,(712) 662-3222,322 South 13th Street,Sac City,Iowa,50583,MH SUMH OP OMH CBT CFT IDD IPT PTM TT WI PVTP CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF PA SS COOT SPS SMPD ADLT CHLD SNR YAD,0,OK,"322 S 13th St, Sac City, IA 50583, USA",ChIJm2oK375V7YcRGd2por7M23o,ROOFTOP,42.4187295,-95.0001472
102,Seasons Center for Behavioral Health OBrien County Office,(800) 242-5101,112 North 2nd Avenue,Sheldon,Iowa,51201,MH SUMH OP TELE CMHC CBT CFT DBT GT IDD IPT PTM TT CIT WI PVTN CLF MC MD MI PI SF SI VAF SS ACT CM COOT SPS SMON ADLT CHLD SNR YAD,0,OK,"112 N 2nd Ave, Sheldon, IA 51201, USA",ChIJY9yCr31ajIcRvDJJecbDTFQ,ROOFTOP,43.1867107,-95.85447049999999
103,Seasons Center for Behavioral Health Osceola County Office,(800) 242-5101,600 9th Avenue North,Sibley,Iowa,51249,MH SUMH OP CMHC CBT CFT DBT IDD IPT TT PVTN CLF CMHG MC MD MI OSF PI SF SI VAF SS COOT SPS SMON ADLT CHLD SNR YAD,0,OK,"600 9th Ave N, Sibley, IA 51249, USA",ChIJX8GI7vBhjIcRMkCSv-JdWTo,ROOFTOP,43.41034030000001,-95.7422072
104,First Resources Corporation Outpatient Mental Health Program,(641) 622-2543,102 South Main Street,Sigourney,Iowa,52591,MH SUMH OP OMH AT BMT CBT CFT DBT GT IDD IPT TT PVTN CLF CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF SS GL CO TRMA PED PTSD SMI DEC ES FPSY PRS SPS SMON ADLT CHLD SNR YAD AH,0,OK,"102 S Main St, Sigourney, IA 52591, USA",ChIJYx9wwEnh5YcRoEbrv90mXHA,ROOFTOP,41.3335377,-92.20534239999999
105,Boys and Girls Home and Family Services Inc,(712) 293-4700,2101 Court Street,Sioux City,Iowa,51104,MH OP RES RTCC CBT CFT DBT GT IPT PTM PVTN MD PI SF SED ES SMON CHLD,0,OK,"2101 Court St, Sioux City, IA 51104, USA",ChIJQephNUP9jYcRDofVbPBPjWk,GEOMETRIC_CENTER,42.5131307,-96.3967557
106,Catholic Charities Diocese of Sioux City,(712) 252-4547,1601 Military Road,Sioux City,Iowa,51103,MH OP OMH BMT CBT CFT GT IPT TT CIT PVTN CLF MC MD PI SCJJ SF SI SWFS PA SS CJ TRMA PTSD COOT ES FPSY SMON ADLT CHLD SNR YAD SP,0,OK,"1601 Military Rd, Sioux City, IA 51103, USA",ChIJvVfqCcIHjocRRDaOMi7jNKE,ROOFTOP,42.5137061,-96.4290984
107,Siouxland Mental Health Center,(712) 252-3871,625 Court Street,Sioux City,Iowa,51101,WE-CARE MH SUMH OP TELE CMHC BMT CBT CFT DBT GT IPT PTM TT CIT WI PVTN CLF CMHG CSBG ITU MC MD MI PI SCJJ SEF SF SI SMHA SWFS VAF PA SS TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SED SMI CDM CM COOT ES FPSY ICM PRS SPS PEER NRT NSC STU TCC SMON,0,OK,"625 Court St, Sioux City, IA 51101, USA",ChIJOaIRmXD9jYcRuuzV2e396IA,ROOFTOP,42.4965989,-96.3967141
108,Catholic Charities Diocese of Sioux City,(712) 580-4320,607 1st Avenue West,Spencer,Iowa,51301,MH OP OMH BMT CBT CFT DBT IPT TT CIT PVTN CLF MC MD PI SCJJ SF SI SWFS PA SS TRMA PTSD COOT ES SMON ADLT CHLD SNR YAD,0,OK,"607 1st Ave W, Spencer, IA 51301, USA",ChIJe55U-1bRjIcRNtuNczq-XXQ,ROOFTOP,43.1435871,-95.14648509999999
109,Seasons Center for Behavioral Health Clay County Office,(800) 242-5101,201 East 11th Street,Spencer,Iowa,51301,MH SUMH OP TELE CMHC CBT CFT DBT GT IDD IPT PTM TT CIT WI PVTN CLF CMHG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF SS VET ADM MF ACT CM COOT SPS SMON ADLT SNR YAD SP,0,OK,"201 E 11th St, Spencer, IA 51301, USA",ChIJ7TMjZ-LTjIcRSlwqzwfMJtQ,ROOFTOP,43.1493502,-95.1421888
110,Spencer Municipal Hospital Behavioral Health Services,(712) 264-6198,1200 1st Avenue East,Spencer,Iowa,51301,MH SUMH HI PSY AT DBT GT PTM LMG MC MD MI PI SF SI CO SMI DEC SPS NRT NSC STU TCC SMON ADLT SNR YAD AH,0,OK,"1200 1st Ave E, Spencer, IA 51301, USA",ChIJ2Re2nVjRjIcRqh8Svx_0uQQ,ROOFTOP,43.149637,-95.1433697
